Fuel Type Code,Station Name,Street Address,City,State,ZIP,Plus4,Country,Geocode Status,Latitude,Longitude,Open Date,Date Last Confirmed,ID,Updated At,Owner Type Code,Status Code,Expected Date,Groups With Access Code,Access Days Time,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,EV Connector Types,Facility Type,EV Pricing,EV On-Site Renewable Source,Restricted Access,Maximum Vehicle Class,EV Workplace Charging,Federal Funding Types,CN_idx,CN_lon,CN_lat,CN_err
ELEC,Hyatt at Fisherman's Wharf,555 N Point St,San Francisco,CA,94133,,US,GPS,37.80619,-122.4152,1998-07-01,2023-05-03,7280.0,2024-01-31 22:07:01 UTC,P,E,,Public,24 hours daily; pay lot; see valet for access,0.0,1.0,0.0,,Non-Networked,,J1772,HOTEL,,,False,LD,False,,65333356,-122.4154494,37.8063559,28.642328500506963
ELEC,Japan Center Garage,1610 Geary Blvd,San Francisco,CA,94115,,US,GPS,37.784912,-122.430237,2002-01-31,2022-09-14,21351.0,2023-02-14 15:54:11 UTC,LG,E,,Public - Credit card at all times,24 hours daily; pay lot,0.0,0.0,0.0,1 SP Inductive,Non-Networked,,,PARKING_GARAGE,,,False,MD,False,,65338334,-122.4299332,37.7848079,29.099138869777132
ELEC,Palace Hotel,2 New Montgomery St,San Francisco,CA,94105,,US,GPS,37.78881,-122.401,2002-01-31,2023-05-03,21358.0,2024-01-31 22:07:01 UTC,P,E,,Public,24 hours daily,0.0,2.0,0.0,,Non-Networked,,J1772,HOTEL,$7 per session,,False,LD,False,,65317028,-122.4008266,37.7888257,15.337145013024049
ELEC,Mark Hopkins InterContinental Hotel,999 California St,San Francisco,CA,94108,,US,200-8,37.791791,-122.411265,2002-01-31,2021-11-04,21360.0,2024-07-01 18:03:10 UTC,P,E,,Public,24 hours daily; for guest use only; see valet for access,0.0,1.0,0.0,,Non-Networked,,J1772,HOTEL,,,True,LD,False,,65295314,-122.4108302,37.791838,38.562131194364014
ELEC,City of Vacaville - Cultural Center,1000 Ulatis Dr,Vacaville,CA,95687,,US,GPS,38.356027,-121.9628,2004-06-15,2023-05-03,25511.0,2024-06-21 20:30:20 UTC,LG,E,,Public,24 hours daily,0.0,1.0,0.0,,Non-Networked,,J1772,MUNI_GOV,Free,,False,LD,False,,62358505,-121.962617,38.3562926,33.56847237540244
ELEC,Stars Recreation Center,155 Browns Valley Pkwy,Vacaville,CA,95688,,US,GPS,38.36557,-121.967,2004-06-15,2023-05-03,25514.0,2024-06-21 20:30:20 UTC,LG,E,,Public,24 hours daily,0.0,4.0,0.0,,Non-Networked,,J1772,REC_SPORTS_FACILITY,Free,,False,LD,False,,62498280,-121.9677038,38.3656759,62.479997997687775
ELEC,City of Vacaville - Regional Transport Center,190 Hickory Ln,Vacaville,CA,95688,,US,GPS,38.35172,-121.987,2004-06-15,2023-05-03,25515.0,2024-06-21 20:30:20 UTC,LG,E,,Public,24 hours daily,0.0,2.0,0.0,,Non-Networked,,J1772,TRAVEL_CENTER,Free,,False,LD,False,,62433515,-121.9872953,38.3521759,56.859014174756545
ELEC,Office of Housing & Redevelopment,40 Eldridge Ave,Vacaville,CA,95688,,US,200-9,38.356907,-122.001886,2004-06-15,2023-05-03,25516.0,2024-06-21 20:30:20 UTC,LG,E,,Public,24 hours daily,0.0,2.0,0.0,,Non-Networked,,J1772,OFFICE_BLDG,Free,,False,LD,False,,62435568,-122.0018803,38.3566736,25.957691104993238
ELEC,KUIC Radio - Parking Lot,500 Catherine St,Vacaville,CA,95688,,US,GPS,38.355867,-121.9862,2004-06-15,2023-05-03,25517.0,2024-06-21 20:30:20 UTC,LG,E,,Public,24 hours daily,0.0,1.0,0.0,1 SP Inductive,Non-Networked,,J1772,PARKING_LOT,Free,,False,LD,False,,62417387,-121.9864013,38.355782,19.935525904332778
ELEC,City of Vacaville - City Hall,650 Merchant St,Vacaville,CA,95688,,US,200-9,38.351758,-121.994475,2004-06-15,2023-05-03,25518.0,2024-06-21 20:30:20 UTC,LG,E,,Public,Primarily government use,0.0,7.0,0.0,2 SP Inductive,Non-Networked,,J1772,MUNI_GOV,Free,,True,LD,False,,62384231,-121.9948778,38.3525025,89.92794282743621
ELEC,Pitt School Plaza,1440 Ary Ln,Dixon,CA,95620,,US,200-9,38.457369,-121.842567,2004-06-15,2023-05-03,25520.0,2024-06-21 20:30:20 UTC,LG,E,,Public,24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging,1.0,0.0,0.0,1 SP Inductive  1 Tesla Conductive,Non-Networked,,NEMA520,SHOPPING_CENTER,Free,,False,,False,,62209244,-121.8415681,38.4580512,115.40973784105617
ELEC,Rio Vista City Hall,1 Main St,Rio Vista,CA,94571,,US,GPS,38.15485,-121.69,2006-08-15,2022-01-10,27302.0,2024-06-27 19:13:47 UTC,LG,E,,Public,24 hours daily,0.0,1.0,0.0,,Non-Networked,,J1772,MUNI_GOV,Free,,False,LD,False,,62481300,-121.6898934,38.1551174,31.160275491998558
ELEC,Fairfield City Hall,1000 Webster St,Fairfield,CA,94533,,US,200-8,38.25281,-122.044229,2012-08-27,2022-12-13,27328.0,2024-06-27 19:56:45 UTC,LG,E,,Public,24 hours daily,0.0,2.0,0.0,,Non-Networked,,J1772,MUNI_GOV,Free,,False,LD,False,,62393431,-122.0442182,38.2536668,95.27661501909645
ELEC,Solano Community College,4000 Suisun Valley Rd,Fairfield,CA,94534,,US,GPS,38.23723,-122.123,2005-07-15,2023-05-03,27329.0,2024-06-21 20:30:20 UTC,LG,E,,Public,24 hours daily,0.0,3.0,0.0,1 SP Inductive,Non-Networked,,J1772,COLLEGE_CAMPUS,Free,,False,,False,,62468494,-122.1242008,38.2376498,114.7953694701598
ELEC,Vallejo Ferry Terminal,495 Mare Island Way,Vallejo,CA,94590,,US,200-8,38.105062,-122.265895,2005-07-15,2023-05-03,27335.0,2024-06-21 20:30:20 UTC,LG,E,,Public,24 hours daily,0.0,0.0,0.0,2 SP Inductive  1 Avcon Conductive  1 Tesla Conductive,Non-Networked,,,TRAVEL_CENTER,Free,,False,MD,False,,62362334,-122.2658892,38.1050167,5.062636890839701
ELEC,Nut Tree Village,1651 E Monte Vista Ave,Vacaville,CA,95688,,US,200-9,38.368755,-121.961192,2008-12-15,2023-05-03,33545.0,2024-06-21 20:30:20 UTC,P,E,,Public,24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging,1.0,1.0,0.0,1 SP Inductive,Non-Networked,,J1772 NEMA515,SHOPPING_CENTER,Free,,False,,False,,470163503,-121.9618433,38.3680169,99.80014714815111
ELEC,Golden Gate Ferry Terminal,101 E Sir Francis Drake Blvd,Larkspur,CA,94939,,US,GPS,37.94495,-122.5096,2008-12-31,2023-05-03,33690.0,2024-01-31 22:07:01 UTC,P,E,,Public,24 hours daily; pay lot,0.0,1.0,0.0,,Non-Networked,,J1772,PARKING_LOT,Free,,False,LD,False,,270661590,-122.5076847,37.9454434,176.68350741887932
ELEC,Oakland International Airport - Daily Lot,1 Airport Dr,Oakland,CA,94621,,US,GPS,37.7136,-122.2087,2012-12-20,2023-06-12,33695.0,2024-01-31 22:07:01 UTC,LG,E,,Public,24 hours daily; pay lot,0.0,4.0,0.0,,Non-Networked,,J1772,AIRPORT,Free,,False,LD,False,,3149810861,-122.2076464,37.713342,97.01766840409817
ELEC,Fairfield Transportation Center,2000 Cadenasso Dr,Fairfield,CA,94533,,US,GPS,38.2482,-122.0678,2009-05-01,2023-05-03,35146.0,2024-06-21 20:30:20 UTC,LG,E,,Public,24 hours daily,0.0,2.0,0.0,2 Tesla Conductive,Non-Networked,,J1772,TRAVEL_CENTER,Free,,False,,False,,2588555872,-122.0683132,38.2493171,132.05308422119984
ELEC,Beach & Hyde Garage,655 Beach St,San Francisco,CA,94109,,US,200-8,37.806798,-122.419488,2011-02-01,2023-09-14,38518.0,2024-01-31 22:07:01 UTC,P,E,,Public,24 hours daily; pay lot,0.0,5.0,0.0,,Non-Networked,,J1772,PAY_GARAGE,Free,,False,LD,False,,65297254,-122.4194991,37.8067999,0.997794687460523
ELEC,Antioch Nissan,1831 Auto Center Dr,Antioch,CA,94509,,US,200-9,38.007799,-121.832042,2011-03-15,2024-02-12,39870.0,2024-02-12 15:25:05 UTC,P,E,,Public - Call ahead,Dealership business hours,0.0,1.0,1.0,,Non-Networked,,CHADEMO J1772 J1772COMBO,CAR_DEALER,Free,,False,LD,False,,3966724436,-121.8330211,38.0077227,86.20105922415208
ELEC,Autocom Nissan - Concord,1290 Concord Ave,Concord,CA,94520,,US,200-8,37.980192,-122.050128,2011-03-15,2024-02-12,39880.0,2024-02-12 15:25:05 UTC,P,E,,Public - Call ahead,Dealership business hours,0.0,1.0,0.0,,Non-Networked,,J1772,CAR_DEALER,Free,,False,LD,False,,5281376224,-122.0503189,37.9802032,16.77801608621788
ELEC,Premier Nissan of Fremont,5701 Cushing Pkwy,Fremont,CA,94538,,US,200-8,37.49864,-121.9734,2011-03-15,2024-02-12,39893.0,2024-02-12 15:25:05 UTC,P,E,,Public - Call ahead,Dealership business hours,0.0,2.0,1.0,,Non-Networked,,CHADEMO J1772,CAR_DEALER,Free,,False,LD,False,,1316803202,-121.9734736,37.498159,53.87750440134796
